13030 2119|lon-gb-thel,lon-gb_linx-juniper
13030 21232|glattbrugg-ch
13030 21320|lon-gb-thel,gva-ch,lon-gb_linx-juniper
13030 21321|lon-gb-thel
13030 21345|lon-gb,lon-gb_linx-extreme
13030 21351|mia-us
13030 21371|par-fr,lon-gb-thel
13030 21385|fra-de
13030 21396|lon-gb-thel,lon-gb_linx-juniper
13030 21473|fra-de
13030 21949|jfk-us-thny
13030 22356|mia-us
13030 226|lax-us
13030 22822|fra-de,mia-us
13030 23089|mia-us
13030 23114|mia-us
13030 23393|fra-de,jfk-us-thny,mia-us
13030 23473|lax-us,jfk-us-thny
13030 23520|mia-us
13030 24218|lon-gb-thel,lax-us,lon-gb_linx-juniper
13030 24482|lon-gb-thel,lon-gb_linx-juniper
13030 24679|fra-de
13030 24724|fra-de
13030 2486|par-fr
13030 24889|zrh-ch
13030 24904|gva-ch
13030 24940|fra-de
13030 2497|lon-gb-thel,lon-gb_linx-juniper
13030 24989|fra-de
13030 25091|gva-ch
13030 25164|zrh-ch
13030 25178|lon-gb-thel,lon-gb_linx-juniper
13030 25180|fra-de
13030 25220|fra-de
13030 25279|fra-de
13030 25291|fra-de
13030 25358|amstnl-nl
13030 25375|zrh-ch
13030 25560|fra-de
13030 25563|bsl-ch
13030 25795|lax-us
13030 2603|lon-gb-thel,lon-gb_linx-juniper,amstnl-nl,jfk-us-thny
13030 260|lon-gb-thel,lon-gb_linx-juniper
13030 262148|lon-gb
13030 2686|lon-gb-thel,lon-gb_linx-juniper
13030 2711|lax-us
13030 2734|jfk-us-thny
13030 27552|jfk-us-thny
13030 27589|mia-us
13030 27647|lax-us
13030 27970|jfk-us-thny
13030 2856|lon-gb
13030 2857|fra-de
13030 28663|mia-us
13030 286|fra-de
13030 28716|fra-de
13030 28725|fra-de
13030 28792|lon-gb-thel,lon-gb_linx-juniper
13030 28855|par-fr
13030 28857|vie-at
13030 29006|lon-gb-thel,lon-gb_linx-juniper
13030 29017|lon-gb-thel,lon-gb_linx-juniper
13030 29056|vie-at
13030 2906|lon-gb-thel,lon-gb_linx-juniper,jfk-us-thny,mia-us
13030 29076|fra-de
13030 29090|fra-de
13030 29097|glattbrugg-ch
13030 29119|mad-es
13030 2914|fra-de,mad-es
13030 29169|par-fr
13030 29430|glattbrugg-ch
13030 29550|lon-gb-thel,lon-gb_linx-juniper
13030 29608|par-fr
13030 29636|lon-gb-thel,lon-gb_linx-juniper
13030 29668|zrh-ch
13030 29670|ber-de
13030 29680|mad-es
13030 29691|zrh-ch
13030 29695|cph-dk
13030 29838|jfk-us-thny
13030 30071|lax-us
13030 30844|lon-gb-thel,lon-gb_linx-juniper
13030 30870|amstnl-nl
13030 30933|lon-gb-thel,lon-gb_linx-juniper
13030 31025|fra-de
13030 31027|cph-dk
13030 31122|lon-gb-thel,lon-gb_linx-juniper
13030 31334|fra-de
13030 31424|glattbrugg-ch
13030 31451|nue-de
13030 31500|lon-gb-thel,lon-gb_linx-juniper
13030 31662|zrh-ch
13030 31708|lon-gb,lon-gb_linx-juniper,lon-gb_linx-extreme,lon-gb-thel
13030 31742|lon-gb-thel
13030 31769|jfk-us-thny
13030 3186|jfk-us-thny
13030 32098|lax-us
13030 3209|fra-de
13030 3216|fra-de
13030 3223|lon-gb-thel,lon-gb_linx-juniper
13030 32590|fra-de
13030 32934|par-fr,fra-de,lon-gb_linx-juniper,mad-es,lon-gb-thel
13030 3303|gva-ch
13030 33132|mia-us
13030 33182|mia-us
13030 3327|fra-de
13030 33353|lon-gb-thel,lon-gb_linx-juniper
13030 33843|fra-de
13030 33845|glattbrugg-ch
13030 33873|fra-de
13030 33891|fra-de
13030 33965|bsl-ch
13030 34006|par-fr
13030 34019|par-fr
13030 34224|fra-de
13030 34288|zrh-ch
13030 34309|lon-gb-thel,lon-gb_linx-juniper
13030 34695|lon-gb-thel,lon-gb_linx-juniper
13030 34781|gva-ch
13030 34863|par-fr
13030 3491|lon-gb-thel,lon-gb_linx-juniper,lon-gb_linx-extreme,lon-gb
13030 34953|fra-de
13030 34960|glattbrugg-ch
13030 35028|lon-gb-thel,lon-gb_linx-juniper
13030 35206|glattbrugg-ch
13030 35320|fra-de
13030 35369|vie-at
13030 35425|lon-gb-thel,lon-gb_linx-juniper
13030 35518|zrh-ch
13030 35575|lon-gb-thel
13030 35625|par-fr
13030 35663|zrh-ch
13030 35788|mia-us
13030 35916|lon-gb-thel,lon-gb_linx-juniper
13030 36351|lon-gb-thel,lon-gb_linx-juniper
13030 36692|lon-gb-thel,mia-us,fra-de,lon-gb_linx-juniper,ber-de,jfk-us-thny
13030 37100|lon-gb-thel,lon-gb_linx-juniper
13030 37105|lon-gb-thel,lon-gb_linx-juniper
13030 37271|lon-gb-thel
13030 3741|lon-gb-thel,lon-gb_linx-juniper
13030 37468|lon-gb-thel,lon-gb_linx-juniper
13030 37662|lon-gb-thel,lon-gb_linx-juniper
13030 38082|lon-gb,lon-gb_linx-juniper,lon-gb_linx-extreme,lon-gb-thel
13030 3856|lon-gb-thel
13030 38861|lax-us
13030 38880|lax-us
13030 39104|par-fr
13030 39326|lon-gb-thel,lon-gb_linx-juniper
13030 394530|jfk-us-thny
13030 39905|par-fr
13030 39912|fra-de
13030 40193|lax-us
13030 41095|lax-us,mia-us,jfk-us-thny,glattbrugg-ch
13030 41103|lon-gb-thel
13030 41157|par-fr
13030 41412|fra-de
13030 41655|winterthur-ch
13030 41887|amstnl-nl
13030 42184|amstnl-nl
13030 4230|jfk-us-thny
13030 42353|lon-gb-thel,lon-gb_linx-juniper
13030 42385|fra-de
13030 42456|fra-de
13030 42473|fra-de,cph-dk,glattbrugg-ch
13030 4250|glattbrugg-ch
13030 42585|amstnl-nl
13030 4258|jfk-us-thny
13030 42605|fra-de
13030 42612|mad-es
13030 42652|fra-de
13030 42689|lon-gb-thel,lon-gb_linx-juniper
13030 42760|glattbrugg-ch
13030 42831|lon-gb-thel,lon-gb_linx-juniper
13030 42|lon-gb-thel,mia-us,glattbrugg-ch,par-fr,lax-us,jfk-us-thny
13030 43142|par-fr
13030 4323|jfk-us-thny
13030 43284|bsl-ch
13030 43407|fra-de
13030 43727|fra-de
13030 43821|amstnl-nl
13030 43996|lon-gb-thel,lon-gb_linx-juniper
13030 44066|fra-de
13030 44776|zrh-ch
13030 44788|amstnl-nl
13030 45629|par-fr
13030 4589|lon-gb-thel
13030 46450|jfk-us-thny
13030 46489|fra-de
13030 4651|par-fr
13030 4657|lax-us
13030 46786|lon-gb-thel,lon-gb_linx-juniper
13030 47215|fra-de
13030 47302|bsl-ch
13030 4739|lax-us
13030 47447|fra-de
13030 47622|lon-gb-thel,lon-gb_linx-juniper
13030 4775|lax-us
13030 47869|lon-gb-thel,lon-gb_linx-juniper
13030 47886|amstnl-nl
13030 4788|lon-gb-thel,lon-gb_linx-juniper,fra-de
13030 48218|zrh-ch
13030 4826|lax-us
13030 48362|fra-de
13030 48484|fra-de
13030 48635|amstnl-nl
13030 48885|glattbrugg-ch
13030 48971|glattbrugg-ch
13030 49024|fra-de
13030 49544|lon-gb-thel,lon-gb_linx-juniper
13030 49605|lon-gb-thel,lon-gb_linx-juniper
13030 49820|amstnl-nl
13030 49867|bsl-ch
13030 49964|amstnl-nl
13030 49981|amstnl-nl
13030 49983|bsl-ch
13030 50056|lon-gb-thel,lon-gb_linx-juniper
13030 50300|lon-gb-thel,lon-gb_linx-juniper
13030 50620|par-fr
13030 50629|dus-de
13030 50858|par-fr
13030 51269|par-fr
13030 51395|glattbrugg-ch
13030 513|gva-ch
13030 51406|lon-gb-thel,lon-gb_linx-juniper
13030 51483|fra-de
13030 51918|lon-gb-thel,lon-gb_linx-juniper
13030 51945|lon-gb-thel,lon-gb_linx-juniper
13030 52075|par-fr,lon-gb-thel,lon-gb_linx-juniper,amstnl-nl
13030 52320|jfk-us-thny
13030 53828|lax-us
